Bump	Bumped	JohnJenner	HeadOfRiver	Bumped	Crews	Overall	MensCrews	Club	Crew	Crews	Day	Bump	HeadOfRiver	JohnJenner	LadiesCrews	Mens/Ladies	LadiesCrews	MensCrews	Number of Records	Overall	Position	Total Crews	Up/Down	Updated	Year
0	0	0	0	0	1	0		99	99	1	Fri	0	0	0	1	Women			1	-1	4	49	0	Y	2016
1	0	4	0	0	1	1		99	99 2	1	Fri	1	0	1	1	Women			1	2	14	49	1	Y	2016
1	0	4	0	0	1	1		99	99 3	1	Fri	1	0	1	1	Women			1	3	16	49	1	Y	2016
0	1	-4	0	1	1	-1		99	99 4	1	Fri	0	0	-1	1	Women			1	-2	30	49	-1	Y	2016
0	0	0	0	0	1	0		99	99 5	1	Fri	0	0	0	1	Women			1	0	41	49	0	Y	2016
0	1	-4	0	1	1	-1		99	99 6	1	Fri	0	0	-1	1	Women			1	-4	46	49	-1	Y	2016
1	0	4	0	0	1	1		Camb Vets	Camb Vets	1	Fri	1	0	1	1	Women			1	4	10	49	1	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs	1	Fri	0	0	0	1	Women			1	0	2	49	0	Y	2016
1	0	4	0	0	1	1		Cantabs	Cantabs 10	1	Fri	1	0	1	1	Women			1	3	45	49	1	Y	2016
1	0	4	0	0	1	1		Cantabs	Cantabs 11	1	Fri	1	0	1	1	Women			1	3	47	49	1	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs 2	1	Fri	0	0	0	1	Women			1	2	5	49	0	Y	2016
1	0	4	0	0	1	1		Cantabs	Cantabs 3	1	Fri	1	0	1	1	Women			1	3	12	49	1	Y	2016
1	0	4	0	0	1	1		Cantabs	Cantabs 4	1	Fri	1	0	1	1	Women			1	3	22	49	1	Y	2016
1	0	4	0	0	1	1		Cantabs	Cantabs 5	1	Fri	1	0	1	1	Women			1	-1	33	49	1	Y	2016
0	1	-4	0	1	1	-1		Cantabs	Cantabs 6	1	Fri	0	0	-1	1	Women			1	0	32	49	-1	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs 7	1	Fri	0	0	0	1	Women			1	-2	40	49	0	Y	2016
0	1	-4	0	1	1	-1		Cantabs	Cantabs 8	1	Fri	0	0	-1	1	Women			1	-1	42	49	-1	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs 9	1	Fri	0	0	0	1	Women			1	-3	48	49	0	Y	2016
0	1	-4	0	1	1	-1		Champs	Champs	1	Fri	0	0	-1	1	Women			1	-3	13	49	-1	Y	2016
0	1	-4	0	1	1	-1		Champs	Champs 2	1	Fri	0	0	-1	1	Women			1	-3	18	49	-1	Y	2016
0	1	-4	0	1	1	-1		Champs	Champs 3	1	Fri	0	0	-1	1	Women			1	0	21	49	-1	Y	2016
0	1	-4	0	1	1	-1		Champs	Champs 4	1	Fri	0	0	-1	1	Women			1	-4	26	49	-1	Y	2016
0	1	-4	0	1	1	-1		Champs	Champs 5	1	Fri	0	0	-1	1	Women			1	-4	28	49	-1	Y	2016
0	1	-4	0	1	1	-1		Champs	Champs 6	1	Fri	0	0	-1	1	Women			1	-3	36	49	-1	Y	2016
0	1	-4	0	1	1	-1		Champs	Champs 7	1	Fri	0	0	-1	1	Women			1	-1	44	49	-1	Y	2016
0	1	-4	0	1	1	-1		Chesterton	Chesterton	1	Fri	0	0	-1	1	Women			1	0	9	49	-1	Y	2016
0	0	0	0	0	1	0		Chesterton	Chesterton 2	1	Fri	0	0	0	1	Women			1	1	35	49	0	Y	2016
1	0	4	0	0	1	1		Chesterton	Chesterton 3	1	Fri	1	0	1	1	Women			1	2	39	49	1	Y	2016
0	0	4	1	0	1	1		City	City	1	Fri	1	1	0	1	Women			1	4	1	49	1	Y	2016
0	0	0	0	0	1	0		City	City 2	1	Fri	0	0	0	1	Women			1	-2	6	49	0	Y	2016
0	1	-4	0	1	1	-1		City	City 3	1	Fri	0	0	-1	1	Women			1	-3	11	49	-1	Y	2016
0	1	-4	0	1	1	-1		City	City 4	1	Fri	0	0	-1	1	Women			1	-4	15	49	-1	Y	2016
0	1	-4	0	1	1	-1		City	City 5	1	Fri	0	0	-1	1	Women			1	-4	23	49	-1	Y	2016
1	0	4	0	0	1	1		City	City 6	1	Fri	1	0	1	1	Women			1	3	19	49	1	Y	2016
1	0	4	0	0	1	1		City	City 7	1	Fri	1	0	1	1	Women			1	3	24	49	1	Y	2016
0	1	-4	0	1	1	-1		City	City 8	1	Fri	0	0	-1	1	Women			1	-2	38	49	-1	Y	2016
1	0	4	0	0	1	1		Isle of Ely	Isle of Ely	1	Fri	1	0	1	1	Women			1	1	27	49	1	Y	2016
0	0	0	0	0	1	0		Radegund	Radegund	1	Fri	0	0	0	1	Women			1	2	17	49	0	Y	2016
1	0	4	0	0	1	1		Radegund	Radegund 2	1	Fri	1	0	1	1	Women			1	3	37	49	1	Y	2016
0	0	0	0	0	1	0		Rob Roy	Rob Roy	1	Fri	0	0	0	1	Women			1	-3	8	49	0	Y	2016
0	0	0	0	0	1	0		Rob Roy	Rob Roy 2	1	Fri	0	0	0	1	Women			1	-3	20	49	0	Y	2016
0	0	0	0	0	1	0		Rob Roy	Rob Roy 3	1	Fri	0	0	0	1	Women			1	3	25	49	0	Y	2016
0	0	0	0	0	1	0		Rob Roy	Rob Roy 4	1	Fri	0	0	0	1	Women			1	1	34	49	0	Y	2016
0	0	0	0	0	1	0		St Neots	St Neots	1	Fri	0	0	0	1	Women			1	1	7	49	0	Y	2016
1	0	4	0	0	1	1		St Neots	St Neots 2	1	Fri	1	0	1	1	Women			1	0	31	49	1	Y	2016
0	0	0	0	0	1	0		Xpress	X-Press	1	Fri	0	0	0	1	Women			1	3	3	49	0	Y	2016
1	0	4	0	0	1	1		Xpress	X-Press 2	1	Fri	1	0	1	1	Women			1	4	29	49	1	Y	2016
1	0	4	0	0	1	1		Xpress	X-Press 3	1	Fri	1	0	1	1	Women			1	4	43	49	1	Y	2016
0	0	0	0	1	1	0		Xpress	X-Press 4	1	Fri	0	0	0	1	Women			1	-1	49	49	0	Y	2016
0	1	-4	0	1	1	-1		99	99	1	Thurs	0	0	-1	1	Women			1	-1	3	49	-1	Y	2016
1	0	4	0	0	1	1		99	99 2	1	Thurs	1	0	1	1	Women			1	1	15	49	1	Y	2016
0	0	0	0	0	1	0		99	99 3	1	Thurs	0	0	0	1	Women			1	2	16	49	0	Y	2016
0	1	-4	0	1	1	-1		99	99 4	1	Thurs	0	0	-1	1	Women			1	-1	29	49	-1	Y	2016
0	0	0	0	0	1	0		99	99 5	1	Thurs	0	0	0	1	Women			1	0	41	49	0	Y	2016
0	1	-4	0	1	1	-1		99	99 6	1	Thurs	0	0	-1	1	Women			1	-3	45	49	-1	Y	2016
1	0	4	0	0	1	1		Camb Vets	Camb Vets	1	Thurs	1	0	1	1	Women			1	3	11	49	1	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs	1	Thurs	0	0	0	1	Women			1	0	2	49	0	Y	2016
1	0	4	0	0	1	1		Cantabs	Cantabs 10	1	Thurs	1	0	1	1	Women			1	2	46	49	1	Y	2016
1	0	4	0	0	1	1		Cantabs	Cantabs 11	1	Thurs	1	0	1	1	Women			1	2	48	49	1	Y	2016
1	0	4	0	0	1	1		Cantabs	Cantabs 2	1	Thurs	1	0	1	1	Women			1	2	6	49	1	Y	2016
1	0	4	0	0	1	1		Cantabs	Cantabs 3	1	Thurs	1	0	1	1	Women			1	2	13	49	1	Y	2016
1	0	4	0	0	1	1		Cantabs	Cantabs 4	1	Thurs	1	0	1	1	Women			1	2	23	49	1	Y	2016
0	1	-4	0	1	1	-1		Cantabs	Cantabs 5	1	Thurs	0	0	-1	1	Women			1	-2	32	49	-1	Y	2016
1	0	4	0	0	1	1		Cantabs	Cantabs 6	1	Thurs	1	0	1	1	Women			1	1	33	49	1	Y	2016
0	1	-4	0	1	1	-1		Cantabs	Cantabs 7	1	Thurs	0	0	-1	1	Women			1	-2	39	49	-1	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs 8	1	Thurs	0	0	0	1	Women			1	0	42	49	0	Y	2016
0	1	-4	0	1	1	-1		Cantabs	Cantabs 9	1	Thurs	0	0	-1	1	Women			1	-3	47	49	-1	Y	2016
0	1	-4	0	1	1	-1		Champs	Champs	1	Thurs	0	0	-1	1	Women			1	-2	12	49	-1	Y	2016
0	1	-4	0	1	1	-1		Champs	Champs 2	1	Thurs	0	0	-1	1	Women			1	-2	17	49	-1	Y	2016
0	0	0	0	0	1	0		Champs	Champs 3	1	Thurs	0	0	0	1	Women			1	1	21	49	0	Y	2016
0	1	-4	0	1	1	-1		Champs	Champs 4	1	Thurs	0	0	-1	1	Women			1	-3	25	49	-1	Y	2016
0	1	-4	0	1	1	-1		Champs	Champs 5	1	Thurs	0	0	-1	1	Women			1	-3	27	49	-1	Y	2016
0	0	0	0	0	1	0		Champs	Champs 6	1	Thurs	0	0	0	1	Women			1	-2	36	49	0	Y	2016
0	1	-4	0	1	1	-1		Champs	Champs 7	1	Thurs	0	0	-1	1	Women			1	0	43	49	-1	Y	2016
0	0	0	0	0	1	0		Chesterton	Chesterton	1	Thurs	0	0	0	1	Women			1	1	9	49	0	Y	2016
0	0	0	0	0	1	0		Chesterton	Chesterton 2	1	Thurs	0	0	0	1	Women			1	1	35	49	0	Y	2016
1	0	4	0	0	1	1		Chesterton	Chesterton 3	1	Thurs	1	0	1	1	Women			1	1	40	49	1	Y	2016
0	0	4	1	0	1	1		City	City	1	Thurs	1	1	0	1	Women			1	3	1	49	1	Y	2016
0	1	-4	0	1	1	-1		City	City 2	1	Thurs	0	0	-1	1	Women			1	-2	5	49	-1	Y	2016
0	1	-4	0	1	1	-1		City	City 3	1	Thurs	0	0	-1	1	Women			1	-2	10	49	-1	Y	2016
0	1	-4	0	1	1	-1		City	City 4	1	Thurs	0	0	-1	1	Women			1	-3	14	49	-1	Y	2016
0	1	-4	0	1	1	-1		City	City 5	1	Thurs	0	0	-1	1	Women			1	-3	22	49	-1	Y	2016
1	0	4	0	0	1	1		City	City 6	1	Thurs	1	0	1	1	Women			1	2	20	49	1	Y	2016
0	0	0	0	0	1	0		City	City 7	1	Thurs	0	0	0	1	Women			1	2	24	49	0	Y	2016
0	1	-4	0	1	1	-1		City	City 8	1	Thurs	0	0	-1	1	Women			1	-1	37	49	-1	Y	2016
1	0	4	0	0	1	1		Isle of Ely	Isle of Ely	1	Thurs	1	0	1	1	Women			1	0	28	49	1	Y	2016
1	0	4	0	0	1	1		Radegund	Radegund	1	Thurs	1	0	1	1	Women			1	2	18	49	1	Y	2016
1	0	4	0	0	1	1		Radegund	Radegund 2	1	Thurs	1	0	1	1	Women			1	2	38	49	1	Y	2016
0	1	-4	0	1	1	-1		Rob Roy	Rob Roy	1	Thurs	0	0	-1	1	Women			1	-3	7	49	-1	Y	2016
0	1	-4	0	1	1	-1		Rob Roy	Rob Roy 2	1	Thurs	0	0	-1	1	Women			1	-3	19	49	-1	Y	2016
1	0	4	0	0	1	1		Rob Roy	Rob Roy 3	1	Thurs	1	0	1	1	Women			1	3	26	49	1	Y	2016
0	0	0	0	0	1	0		Rob Roy	Rob Roy 4	1	Thurs	0	0	0	1	Women			1	1	34	49	0	Y	2016
1	0	4	0	0	1	1		St Neots	St Neots	1	Thurs	1	0	1	1	Women			1	1	8	49	1	Y	2016
0	0	0	0	0	1	0		St Neots	St Neots 2	1	Thurs	0	0	0	1	Women			1	-1	31	49	0	Y	2016
1	0	4	0	0	1	1		Xpress	X-Press	1	Thurs	1	0	1	1	Women			1	3	4	49	1	Y	2016
1	0	4	0	0	1	1		Xpress	X-Press 2	1	Thurs	1	0	1	1	Women			1	3	30	49	1	Y	2016
1	0	4	0	0	1	1		Xpress	X-Press 3	1	Thurs	1	0	1	1	Women			1	3	44	49	1	Y	2016
0	0	0	0	1	1	0		Xpress	X-Press 4	1	Thurs	0	0	0	1	Women			1	-1	49	49	0	Y	2016
0	0	0	0	0	1	0		99	99	1	Tues	0	0	0	1	Women			1	0	3	49	0	Y	2016
0	0	0	0	0	1	0		99	99 2	1	Tues	0	0	0	1	Women			1	0	15	49	0	Y	2016
1	0	4	0	0	1	1		99	99 3	1	Tues	1	0	1	1	Women			1	1	18	49	1	Y	2016
0	0	0	0	0	1	0		99	99 4	1	Tues	0	0	0	1	Women			1	0	29	49	0	Y	2016
0	0	0	0	0	1	0		99	99 5	1	Tues	0	0	0	1	Women			1	0	41	49	0	Y	2016
0	1	-4	0	1	1	-1		99	99 6	1	Tues	0	0	-1	1	Women			1	-1	43	49	-1	Y	2016
1	0	4	0	0	1	1		Camb Vets	Camb Vets	1	Tues	1	0	1	1	Women			1	1	13	49	1	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs	1	Tues	0	0	0	1	Women			1	0	2	49	0	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs 10	1	Tues	0	0	0	1	Women			1	0	47	49	0	Y	2016
1	0	4	0	1	1	1		Cantabs	Cantabs 11	1	Tues	1	0	1	1	Women			1	1	49	49	1	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs 2	1	Tues	0	0	0	1	Women			1	0	7	49	0	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs 3	1	Tues	0	0	0	1	Women			1	0	14	49	0	Y	2016
1	0	4	0	0	1	1		Cantabs	Cantabs 4	1	Tues	1	0	1	1	Women			1	1	24	49	1	Y	2016
0	1	-4	0	1	1	-1		Cantabs	Cantabs 5	1	Tues	0	0	-1	1	Women			1	-1	31	49	-1	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs 6	1	Tues	0	0	0	1	Women			1	0	33	49	0	Y	2016
0	1	-4	0	1	1	-1		Cantabs	Cantabs 7	1	Tues	0	0	-1	1	Women			1	-1	38	49	-1	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs 8	1	Tues	0	0	0	1	Women			1	0	42	49	0	Y	2016
0	1	-4	0	1	1	-1		Cantabs	Cantabs 9	1	Tues	0	0	-1	1	Women			1	-1	45	49	-1	Y	2016
0	0	0	0	0	1	0		Champs	Champs	1	Tues	0	0	0	1	Women			1	0	11	49	0	Y	2016
0	0	0	0	0	1	0		Champs	Champs 2	1	Tues	0	0	0	1	Women			1	0	16	49	0	Y	2016
0	0	0	0	0	1	0		Champs	Champs 3	1	Tues	0	0	0	1	Women			1	0	22	49	0	Y	2016
0	1	-4	0	1	1	-1		Champs	Champs 4	1	Tues	0	0	-1	1	Women			1	-1	23	49	-1	Y	2016
0	1	-4	0	1	1	-1		Champs	Champs 5	1	Tues	0	0	-1	1	Women			1	-1	25	49	-1	Y	2016
0	1	-4	0	1	1	-1		Champs	Champs 6	1	Tues	0	0	-1	1	Women			1	-1	34	49	-1	Y	2016
1	0	4	0	0	1	1		Champs	Champs 7	1	Tues	1	0	1	1	Women			1	1	44	49	1	Y	2016
1	0	4	0	0	1	1		Chesterton	Chesterton	1	Tues	1	0	1	1	Women			1	1	10	49	1	Y	2016
0	0	0	0	0	1	0		Chesterton	Chesterton 2	1	Tues	0	0	0	1	Women			1	0	36	49	0	Y	2016
0	0	0	0	0	1	0		Chesterton	Chesterton 3	1	Tues	0	0	0	1	Women			1	0	40	49	0	Y	2016
0	0	4		0	1	1		City	City	1	Tues	1	1	0	1	Women			1	1	1	49	1	Y	2016
0	0	0	0	0	1	0		City	City 2	1	Tues	0	0	0	1	Women			1	0	4	49	0	Y	2016
0	1	-4	0	1	1	-1		City	City 3	1	Tues	0	0	-1	1	Women			1	-1	9	49	-1	Y	2016
0	1	-4	0	1	1	-1		City	City 4	1	Tues	0	0	-1	1	Women			1	-1	12	49	-1	Y	2016
0	1	-4	0	1	1	-1		City	City 5	1	Tues	0	0	-1	1	Women			1	-1	20	49	-1	Y	2016
1	0	4	0	0	1	1		City	City 6	1	Tues	1	0	1	1	Women			1	1	21	49	1	Y	2016
1	0	4	0	0	1	1		City	City 7	1	Tues	1	0	1	1	Women			1	1	26	49	1	Y	2016
0	0	0	0	0	1	0		City	City 8	1	Tues	0	0	0	1	Women			1	0	37	49	0	Y	2016
0	1	-4	0	1	1	-1		Isle of Ely	Isle of Ely	1	Tues	0	0	-1	1	Women			1	-1	27	49	-1	Y	2016
0	0	0	0	0	1	0		Radegund	Radegund	1	Tues	0	0	0	1	Women			1	0	19	49	0	Y	2016
1	0	4	0	0	1	1		Radegund	Radegund 2	1	Tues	1	0	1	1	Women			1	1	39	49	1	Y	2016
0	1	-4	0	1	1	-1		Rob Roy	Rob Roy	1	Tues	0	0	-1	1	Women			1	-1	5	49	-1	Y	2016
0	1	-4	0	1	1	-1		Rob Roy	Rob Roy 2	1	Tues	0	0	-1	1	Women			1	-1	17	49	-1	Y	2016
1	0	4	0	0	1	1		Rob Roy	Rob Roy 3	1	Tues	1	0	1	1	Women			1	1	28	49	1	Y	2016
1	0	4	0	0	1	1		Rob Roy	Rob Roy 4	1	Tues	1	0	1	1	Women			1	1	35	49	1	Y	2016
0	0	0	0	0	1	0		St Neots	St Neots	1	Tues	0	0	0	1	Women			1	0	8	49	0	Y	2016
0	0	0	0	0	1	0		St Neots	St Neots 2	1	Tues	0	0	0	1	Women			1	0	30	49	0	Y	2016
1	0	4	0	0	1	1		Xpress	X-Press	1	Tues	1	0	1	1	Women			1	1	6	49	1	Y	2016
1	0	4	0	0	1	1		Xpress	X-Press 2	1	Tues	1	0	1	1	Women			1	1	32	49	1	Y	2016
1	0	4	0	0	1	1		Xpress	X-Press 3	1	Tues	1	0	1	1	Women			1	1	46	49	1	Y	2016
0	1	-4	0	1	1	-1		Xpress	X-Press 4	1	Tues	0	0	-1	1	Women			1	-1	48	49	-1	Y	2016
0	0	0	0	0	1	0		99	99	1	Wed	0	0	0	1	Women			1	0	3	49	0	Y	2016
0	0	0	0	0	1	0		99	99 2	1	Wed	0	0	0	1	Women			1	0	15	49	0	Y	2016
1	0	4	0	0	1	1		99	99 3	1	Wed	1	0	1	1	Women			1	2	17	49	1	Y	2016
0	0	0	0	0	1	0		99	99 4	1	Wed	0	0	0	1	Women			1	0	29	49	0	Y	2016
0	0	0	0	0	1	0		99	99 5	1	Wed	0	0	0	1	Women			1	0	41	49	0	Y	2016
0	1	-4	0	1	1	-1		99	99 6	1	Wed	0	0	-1	1	Women			1	-2	44	49	-1	Y	2016
1	0	4	0	0	1	1		Camb Vets	Camb Vets	1	Wed	1	0	1	1	Women			1	2	12	49	1	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs	1	Wed	0	0	0	1	Women			1	0	2	49	0	Y	2016
1	0	4	0	0	1	1		Cantabs	Cantabs 10	1	Wed	1	0	1	1	Women			1	1	47	49	1	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs 11	1	Wed	0	0	0	1	Women			1	1	48	49	0	Y	2016
1	0	4	0	0	1	1		Cantabs	Cantabs 2	1	Wed	1	0	1	1	Women			1	1	7	49	1	Y	2016
1	0	4	0	0	1	1		Cantabs	Cantabs 3	1	Wed	1	0	1	1	Women			1	1	14	49	1	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs 4	1	Wed	0	0	0	1	Women			1	1	23	49	0	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs 5	1	Wed	0	0	0	1	Women			1	-1	32	49	0	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs 6	1	Wed	0	0	0	1	Women			1	0	33	49	0	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs 7	1	Wed	0	0	0	1	Women			1	-1	39	49	0	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs 8	1	Wed	0	0	0	1	Women			1	0	42	49	0	Y	2016
0	1	-4	0	1	1	-1		Cantabs	Cantabs 9	1	Wed	0	0	-1	1	Women			1	-2	46	49	-1	Y	2016
0	1	-4	0	1	1	-1		Champs	Champs	1	Wed	0	0	-1	1	Women			1	-1	11	49	-1	Y	2016
0	1	-4	0	1	1	-1		Champs	Champs 2	1	Wed	0	0	-1	1	Women			1	-1	16	49	-1	Y	2016
1	0	4	0	0	1	1		Champs	Champs 3	1	Wed	1	0	1	1	Women			1	1	22	49	1	Y	2016
0	1	-4	0	1	1	-1		Champs	Champs 4	1	Wed	0	0	-1	1	Women			1	-2	24	49	-1	Y	2016
0	1	-4	0	1	1	-1		Champs	Champs 5	1	Wed	0	0	-1	1	Women			1	-2	26	49	-1	Y	2016
0	1	-4	0	1	1	-1		Champs	Champs 6	1	Wed	0	0	-1	1	Women			1	-2	35	49	-1	Y	2016
0	0	0	0	0	1	0		Champs	Champs 7	1	Wed	0	0	0	1	Women			1	1	43	49	0	Y	2016
0	0	0	0	0	1	0		Chesterton	Chesterton	1	Wed	0	0	0	1	Women			1	1	9	49	0	Y	2016
1	0	4	0	0	1	1		Chesterton	Chesterton 2	1	Wed	1	0	1	1	Women			1	1	36	49	1	Y	2016
0	0	0	0	0	1	0		Chesterton	Chesterton 3	1	Wed	0	0	0	1	Women			1	0	40	49	0	Y	2016
0	0	4	1	0	1	1		City	City	1	Wed	1	1	0	1	Women			1	2	1	49	1	Y	2016
0	1	-4	0	1	1	-1		City	City 2	1	Wed	0	0	-1	1	Women			1	-1	4	49	-1	Y	2016
0	0	0	0	0	1	0		City	City 3	1	Wed	0	0	0	1	Women			1	-1	10	49	0	Y	2016
0	1	-4	0	1	1	-1		City	City 4	1	Wed	0	0	-1	1	Women			1	-2	13	49	-1	Y	2016
0	1	-4	0	1	1	-1		City	City 5	1	Wed	0	0	-1	1	Women			1	-2	21	49	-1	Y	2016
0	0	0	0	0	1	0		City	City 6	1	Wed	0	0	0	1	Women			1	1	20	49	0	Y	2016
1	0	4	0	0	1	1		City	City 7	1	Wed	1	0	1	1	Women			1	2	25	49	1	Y	2016
0	0	0	0	0	1	0		City	City 8	1	Wed	0	0	0	1	Women			1	0	37	49	0	Y	2016
0	0	0	0	0	1	0		Isle of Ely	Isle of Ely	1	Wed	0	0	0	1	Women			1	-1	28	49	0	Y	2016
1	0	4	0	0	1	1		Radegund	Radegund	1	Wed	1	0	1	1	Women			1	1	19	49	1	Y	2016
0	0	0	0	0	1	0		Radegund	Radegund 2	1	Wed	0	0	0	1	Women			1	1	38	49	0	Y	2016
0	1	-4	0	1	1	-1		Rob Roy	Rob Roy	1	Wed	0	0	-1	1	Women			1	-2	6	49	-1	Y	2016
0	1	-4	0	1	1	-1		Rob Roy	Rob Roy 2	1	Wed	0	0	-1	1	Women			1	-2	18	49	-1	Y	2016
1	0	4	0	0	1	1		Rob Roy	Rob Roy 3	1	Wed	1	0	1	1	Women			1	2	27	49	1	Y	2016
0	0	0	0	0	1	0		Rob Roy	Rob Roy 4	1	Wed	0	0	0	1	Women			1	1	34	49	0	Y	2016
0	0	0	0	0	1	0		St Neots	St Neots	1	Wed	0	0	0	1	Women			1	0	8	49	0	Y	2016
0	1	-4	0	1	1	-1		St Neots	St Neots 2	1	Wed	0	0	-1	1	Women			1	-1	30	49	-1	Y	2016
1	0	4	0	0	1	1		Xpress	X-Press	1	Wed	1	0	1	1	Women			1	2	5	49	1	Y	2016
1	0	4	0	0	1	1		Xpress	X-Press 2	1	Wed	1	0	1	1	Women			1	2	31	49	1	Y	2016
1	0	4	0	0	1	1		Xpress	X-Press 3	1	Wed	1	0	1	1	Women			1	2	45	49	1	Y	2016
0	0	0	0	1	1	0		Xpress	X-Press 4	1	Wed	0	0	0	1	Women			1	-1	49	49	0	Y	2016
